date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,,,,,,,,,,
2020-01-02,,,,,,,,,,
2020-01-03,,,,,,,,,,
2020-01-04,,,,,,,,,,
2020-01-05,,,,,,,,,,
2020-01-06,,,,,,,,,,
2020-01-07,,,,,,,,,,
2020-01-08,,,,,,,,,,
2020-01-09,,,,,,,,,,
2020-01-10,,,,,,,,,,
2020-01-11,,,,,,,,,,
2020-01-12,,,,,,,,,,
2020-01-13,,,,,,,,,,
2020-01-14,4.6,1.9,6.4,,,214,13,,,
2020-01-15,2.9,-1.9,5.4,,,207,11,,,
2020-01-16,0.8,-3.7,4.1,,,297,29,,,
2020-01-17,-2.8,-6.1,-0.9,,,121,15,,,
2020-01-18,1.7,-2.4,5.5,,,199,26,,,
2020-01-19,-6,-8,-3.2,,,291,22,,,
2020-01-20,-6.2,-9.3,-2.1,,,,12,,,
2020-01-21,-3.5,-6.2,-0.6,,,250,13,,,
2020-01-22,-2.6,-5.8,0.5,,,,15,,,
2020-01-23,1.8,-0.9,4.2,,,,4,,,
2020-01-24,3.7,2.7,4.9,,,88,15,,,
2020-01-25,3.3,2.5,4.9,,,218,12,,,
2020-01-26,2.8,2.5,3.5,,,258,20,,,
2020-01-27,3.1,2.5,4.1,,,296,14,,,
2020-01-28,2.4,1.2,3.2,,,286,12,,,
2020-01-29,0.9,0.1,1.4,,,78,6,,,
2020-01-30,0.8,0.1,2,,,,5,,,
2020-01-31,0.8,-2,2.1,,,198,7,,,
2020-02-01,0.8,-3.9,3.1,,,217,12,,,
2020-02-02,6,2.1,12.7,,,237,25,,,
2020-02-03,5.5,-0.8,11.9,,,,8,,,
2020-02-04,3.4,1.4,4.7,,,82,18,,,
2020-02-05,-1.2,-3.4,1,,,85,17,,,
2020-02-06,-1.5,-2.6,-0.6,,,69,17,,,
2020-02-07,-0.3,-2,2.7,,,312,18,,,
2020-02-08,-0.9,-3.2,0.2,,,152,10,,,
2020-02-09,-0.1,-4.5,3.7,,,179,15,,,
2020-02-10,2.8,1.4,3.7,,,263,11,,,
2020-02-11,1.3,-1.4,4.6,,,268,20,,,
